iter	Passed	Remaining
518	920	853
519	922	851
520	923	849
521	925	847
522	926	845
523	928	843
524	929	841
525	931	839
526	932	836
527	933	834
528	935	832
529	938	832
530	940	830
531	942	829
532	944	827
533	946	825
534	948	824
535	950	823
536	952	821
537	954	819
538	956	818
539	958	816
540	960	814
541	961	812
542	963	810
543	965	809
544	967	807
545	968	805
546	970	803
547	972	802
548	974	800
549	975	798
550	977	796
551	979	795
552	981	793
553	982	791
554	984	789
555	986	787
556	988	786
557	989	784
558	991	781
559	992	779
560	994	777
561	995	775
562	996	773
563	998	771
564	999	769
565	1001	767
566	1003	766
567	1004	764
568	1006	762
569	1007	760
570	1009	758
571	1010	756
572	1012	754
573	1013	752
574	1015	750
575	1017	748
576	1018	746
577	1020	744
578	1021	743
579	1023	741
580	1024	739
581	1026	737
582	1027	735
583	1029	733
584	1030	731
585	1033	729
586	1034	727
587	1035	725
588	1037	723
589	1038	721
590	1040	719
591	1041	717
592	1043	715
593	1044	713
594	1046	712
595	1047	710
596	1049	708
597	1050	706
598	1052	704
599	1054	702
600	1055	700
601	1057	698
602	1058	696
603	1060	695
604	1061	693
605	1063	691
606	1064	689
607	1066	687
608	1067	685
609	1069	683
610	1070	681
611	1072	679
612	1073	677
613	1075	676
614	1077	674
615	1079	672
616	1080	670
617	1081	668
618	1083	666
619	1084	664
620	1086	662
621	1087	661
622	1089	659
623	1090	657
624	1091	655
625	1093	653
626	1094	651
627	1096	649
628	1097	647
629	1099	645
630	1100	643
631	1102	641
632	1103	639
633	1105	638
634	1106	636
635	1107	634
636	1109	632
637	1110	630
638	1112	628
639	1113	626
640	1115	624
641	1116	622
642	1118	621
643	1120	619
644	1121	617
645	1122	615
646	1124	613
647	1125	611
648	1126	609
649	1128	607
650	1129	605
651	1130	603
652	1132	601
653	1133	599
654	1134	597
655	1136	595
656	1137	593
657	1138	591
658	1140	589
659	1141	587
660	1143	586
661	1144	584
662	1146	582
663	1147	580
664	1149	578
665	1150	577
666	1152	575
667	1153	573
668	1155	571
669	1156	569
670	1158	567
671	1159	565
672	1160	563
673	1162	562
674	1163	560
675	1164	558
676	1166	556
677	1167	554
678	1169	552
679	1170	550
680	1172	549
681	1173	547
682	1175	545
683	1176	543
684	1178	541
685	1180	540
686	1181	538
687	1183	536
688	1184	534
689	1185	532
690	1187	530
691	1188	528
692	1189	527
693	1191	525
694	1192	523
695	1193	521
696	1195	519
697	1196	517
698	1198	515
699	1199	513
700	1200	512
701	1201	510
702	1203	508
703	1204	506
704	1205	504
705	1207	502
706	1208	500
707	1209	498
708	1211	497
709	1212	495
710	1213	493
711	1215	491
712	1216	489
713	1217	487
714	1218	485
715	1220	483
716	1221	482
717	1222	480
718	1223	478
719	1225	476
720	1227	474
721	1228	473
722	1229	471
723	1231	469
724	1232	467
725	1233	465
726	1235	463
727	1236	461
728	1237	460
729	1239	458
730	1240	456
731	1242	454
732	1243	452
733	1244	451
734	1246	449
735	1247	447
736	1249	445
737	1250	444
738	1252	442
739	1253	440
740	1254	438
741	1256	436
742	1258	435
743	1259	433
744	1260	431
745	1262	429
746	1263	427
747	1264	426
748	1265	424
749	1267	422
750	1268	420
751	1270	418
752	1271	417
753	1272	415
754	1274	413
755	1275	411
756	1277	409
757	1278	408
758	1279	406
759	1280	404
760	1282	402
761	1283	400
762	1285	399
763	1286	397
764	1287	395
765	1289	393
766	1290	392
767	1291	390
768	1293	388
769	1294	386
770	1295	384
771	1297	383
772	1298	381
773	1299	379
774	1300	377
775	1302	375
776	1303	374
777	1304	372
778	1305	370
779	1307	368
780	1308	366
781	1309	365
782	1311	363
783	1312	361
784	1314	359
785	1315	358
786	1316	356
787	1318	354
788	1319	352
789	1320	351
790	1321	349
791	1323	347
792	1324	345
793	1325	343
794	1327	342
795	1328	340
796	1329	338
797	1331	336
798	1332	335
799	1333	333
800	1334	331
801	1336	329
802	1337	328
803	1338	326
804	1340	324
805	1341	322
806	1342	321
807	1343	319
808	1345	317
809	1346	315
810	1347	314
811	1349	312
812	1350	310
813	1351	308
814	1353	307
815	1355	305
816	1356	303
817	1357	302
818	1359	300
819	1360	298
820	1362	297
821	1363	295
822	1365	293
823	1366	291
824	1367	290
825	1369	288
826	1370	286
827	1372	285
828	1373	283
829	1374	281
830	1376	279
831	1377	278
832	1378	276
833	1380	274
834	1381	273
835	1383	271
836	1384	269
837	1386	267
838	1387	266
839	1388	264
840	1390	262
841	1391	261
842	1392	259
843	1394	257
844	1395	255
845	1397	254
846	1398	252
847	1400	250
848	1401	249
849	1403	247
850	1405	246
851	1406	244
852	1408	242
853	1410	241
854	1412	239
855	1414	237
856	1415	236
857	1417	234
858	1418	232
859	1420	231
860	1422	229
861	1423	227
862	1425	226
863	1427	224
864	1428	222
865	1430	221
866	1431	219
867	1433	217
868	1434	216
869	1437	214
870	1438	213
871	1440	211
872	1441	209
873	1443	208
874	1444	206
875	1446	204
876	1447	203
877	1449	201
878	1451	199
879	1453	198
880	1455	196
881	1457	194
882	1458	193
883	1460	191
884	1461	189
885	1463	188
886	1465	186
887	1467	185
888	1468	183
889	1470	181
890	1472	180
891	1473	178
892	1475	176
893	1477	175
894	1479	173
895	1481	171
896	1483	170
897	1484	168
898	1486	167
899	1488	165
900	1491	163
901	1493	162
902	1495	160
903	1497	158
904	1498	157
905	1500	155
906	1501	153
907	1502	152
908	1504	150
909	1505	148
910	1507	147
911	1508	145
912	1510	143
913	1512	142
914	1513	140
915	1515	138
916	1516	137
917	1518	135
918	1519	133
919	1521	132
920	1522	130
921	1524	128
922	1525	127
923	1527	125
924	1528	123
925	1530	122
926	1531	120
927	1533	118
928	1535	117
929	1536	115
930	1537	113
931	1539	112
932	1541	110
933	1542	109
934	1544	107
935	1546	105
936	1548	104
937	1550	102
938	1552	100
939	1554	99
940	1556	97
941	1558	95
942	1560	94
943	1562	92
944	1564	91
945	1565	89
946	1567	87
947	1569	86
948	1570	84
949	1572	82
950	1573	81
951	1575	79
952	1576	77
953	1578	76
954	1579	74
955	1581	72
956	1582	71
957	1584	69
958	1586	67
959	1588	66
960	1589	64
961	1591	62
962	1592	61
963	1594	59
964	1596	57
965	1599	56
966	1601	54
967	1602	52
968	1604	51
969	1606	49
970	1607	48
971	1609	46
972	1611	44
973	1613	43
974	1615	41
975	1617	39
976	1619	38
977	1620	36
978	1622	34
979	1624	33
980	1626	31
981	1628	29
982	1630	28
983	1632	26
984	1634	24
985	1635	23
986	1637	21
987	1639	19
988	1641	18
989	1643	16
990	1645	14
991	1647	13
992	1648	11
993	1650	9
994	1652	8
995	1655	6
996	1657	4
997	1659	3
998	1661	1
999	1663	0
